Natural Mortality
1 5
1980 2016
0 12
1
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15 
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15 0.15   0.15   0.15
